Wall time,Step,PPO_reward
1718038739,81920,106.0488739
1718038799,163840,112.9459839
1718038856,245760,127.1877747
1718038918,327680,153.5844879
1718038975,409600,163.0989075
1718039036,491520,198.9181061
1718039096,573440,237.7846832
1718039157,655360,262.047821
1718039220,737280,286.5181885
1718039285,819200,317.2914734
1718039339,901120,335.1975708
1718039398,983040,332.7607727
1718039459,1064960,340.2106323
1718039517,1146880,334.7728882
1718039578,1228800,336.0690613
1718039638,1310720,343.8605042
1718039702,1392640,350.0105591
1718039766,1474560,348.3703613
1718039829,1556480,359.5739136
1718039890,1638400,353.8035889
1718039951,1720320,362.7391052
1718040012,1802240,358.9011841
1718040075,1884160,353.5689392
1718040135,1966080,369.4932861
1718040196,2048000,377.5636597
1718040260,2129920,369.8913574
1718040319,2211840,364.5296631
1718040384,2293760,376.3749695
1718040446,2375680,371.8032532
1718040510,2457600,363.7091675
1718040573,2539520,366.3938293
1718040631,2621440,368.993866
1718040695,2703360,378.0781555
1718040759,2785280,385.3334045
1718040819,2867200,370.3123779
1718040880,2949120,361.5557861
1718040943,3031040,392.892395
1718041005,3112960,371.7610168
1718041072,3194880,378.8088684
1718041135,3276800,380.3501892
1718041202,3358720,373.9420776
1718041260,3440640,366.7989197
1718041318,3522560,383.6446838
1718041380,3604480,379.6317139
1718041439,3686400,379.1166382
1718041500,3768320,394.6791382
1718041562,3850240,396.1658325
1718041622,3932160,401.5690918
1718041679,4014080,383.6358948
1718041741,4096000,387.6288147
1718041800,4177920,389.444458
1718041855,4259840,395.0387878
1718041915,4341760,398.0726929
1718041972,4423680,404.5445251
1718042027,4505600,382.6149597
1718042084,4587520,399.6432495
1718042139,4669440,406.6029968
1718042192,4751360,379.711731
1718042250,4833280,394.6719666
1718042307,4915200,400.5517273
1718042365,4997120,408.3821411
1718042424,5079040,408.1074219
1718042479,5160960,408.7458191
1718042539,5242880,403.1296997
1718042599,5324800,407.3293457
1718042659,5406720,417.0641479
1718042717,5488640,427.1160889
1718042778,5570560,398.4964905
1718042838,5652480,410.3999939
1718042895,5734400,389.4179382
1718042953,5816320,401.3771362
1718043013,5898240,403.9920044
1718043075,5980160,395.3572693
1718043133,6062080,430.7669678
1718043191,6144000,428.4318237
1718043253,6225920,420.6018066
1718043314,6307840,416.6911621
1718043375,6389760,430.1913757
1718043437,6471680,395.4789734
1718043498,6553600,429.2448425
1718043560,6635520,430.0137024
1718043622,6717440,420.9309387
1718043681,6799360,387.5262146
1718043741,6881280,417.6245728
1718043801,6963200,409.384613
1718043857,7045120,441.6394043
1718043918,7127040,413.8718262
1718043976,7208960,419.7079163
1718044039,7290880,390.3264465
1718044095,7372800,437.9597168
1718044148,7454720,418.7048035
1718044209,7536640,423.5418701
1718044268,7618560,432.3895264
1718044330,7700480,426.1107178
1718044394,7782400,419.8275452
1718044453,7864320,431.8947754
1718044509,7946240,433.0903625
1718044570,8028160,422.5947266
1718044626,8110080,425.7984314
1718044681,8192000,439.1916809
1718044746,8273920,418.3073425
1718044806,8355840,428.1599731
1718044869,8437760,448.571167
1718044928,8519680,428.3778076
1718044992,8601600,425.495636
1718045057,8683520,437.3735046
1718045119,8765440,443.1524353
1718045181,8847360,441.3833923
1718045242,8929280,428.7079163
1718045306,9011200,433.4116516
1718045373,9093120,457.164856
1718045435,9175040,438.4653931
1718045491,9256960,456.2812195
1718045554,9338880,444.8485107
1718045616,9420800,448.5205383
1718045674,9502720,449.276123
1718045736,9584640,422.3087769
1718045796,9666560,459.7671814
1718045854,9748480,425.5671387
1718045913,9830400,454.5678406
1718045974,9912320,445.1678772
1718046037,9994240,449.9189758
1718046101,10076160,452.026825
