Wall time,Step,A2C_reward
1718050606,20000,106.8352432
1718050609,40000,103.6738739
1718050613,60000,110.200592
1718050616,80000,121.6383667
1718050620,100000,122.4541092
1718050623,120000,129.4842224
1718050627,140000,118.6714096
1718050630,160000,135.1226807
1718050634,180000,130.6598511
1718050637,200000,136.0884705
1718050640,220000,155.2289581
1718050644,240000,158.4989471
1718050647,260000,180.794342
1718050651,280000,212.5018158
1718050654,300000,223.927948
1718050658,320000,257.9458008
1718050661,340000,299.0469055
1718050665,360000,255.1298828
1718050668,380000,285.1008606
1718050672,400000,315.9080811
1718050676,420000,322.5784302
1718050679,440000,321.5755615
1718050683,460000,322.1656494
1718050686,480000,310.8149719
1718050690,500000,324.1779785
1718050694,520000,317.233429
1718050697,540000,309.7659302
1718050701,560000,314.0119019
1718050704,580000,323.9000244
1718050708,600000,343.7062378
1718050712,620000,322.7236328
1718050715,640000,321.4484253
1718050719,660000,335.7807922
1718050723,680000,328.0327454
1718050726,700000,346.7679443
1718050730,720000,338.0266724
1718050733,740000,317.8997803
1718050737,760000,317.6331177
1718050741,780000,324.9323425
1718050744,800000,308.0097351
1718050748,820000,322.2970581
1718050752,840000,334.3786316
1718050755,860000,295.6020813
1718050759,880000,312.6115112
1718050762,900000,323.2282715
1718050765,920000,348.284729
1718050768,940000,319.8662109
1718050771,960000,346.6499939
1718050775,980000,322.87323
1718050778,1000000,322.866394
1718050782,1020000,309.8737183
1718050786,1040000,323.9769592
1718050789,1060000,326.1774902
1718050793,1080000,327.3670959
1718050797,1100000,334.1627808
1718050801,1120000,324.9296875
1718050805,1140000,330.0447693
1718050808,1160000,336.8229675
1718050812,1180000,355.6231995
1718050816,1200000,331.2214966
1718050820,1220000,333.74823
1718050824,1240000,363.6435547
1718050827,1260000,354.4422607
1718050831,1280000,360.732605
1718050835,1300000,341.7170715
1718050838,1320000,367.0998535
1718050842,1340000,378.9468079
1718050846,1360000,379.006958
1718050849,1380000,390.4136658
1718050853,1400000,364.4655762
1718050857,1420000,371.8427429
1718050860,1440000,365.9281616
1718050864,1460000,410.6694946
1718050868,1480000,374.2854309
1718050872,1500000,369.9709778
1718050875,1520000,356.105835
1718050879,1540000,392.6474915
1718050883,1560000,376.6353149
1718050887,1580000,377.2889099
1718050890,1600000,384.2751465
1718050894,1620000,408.7475281
1718050898,1640000,398.1920166
1718050901,1660000,406.2683105
1718050905,1680000,416.0552673
1718050908,1700000,421.6748962
1718050912,1720000,426.5651855
1718050916,1740000,439.160614
1718050919,1760000,410.1908264
1718050923,1780000,432.0187378
1718050927,1800000,429.8210144
1718050931,1820000,439.7931213
1718050935,1840000,449.8663025
1718050939,1860000,446.1993408
1718050942,1880000,459.9543457
1718050946,1900000,435.9924316
1718050950,1920000,441.8294067
1718050954,1940000,408.9604187
1718050958,1960000,428.5465698
1718050962,1980000,436.1943665
1718050966,2000000,459.3994446
1718050970,2020000,451.0683899
1718050974,2040000,429.5591125
1718050978,2060000,443.717041
1718050982,2080000,417.137085
1718050986,2100000,450.0249634
1718050990,2120000,433.6173706
1718050993,2140000,418.8739319
1718050997,2160000,448.4200134
1718051001,2180000,429.9165955
1718051005,2200000,434.5076294
1718051009,2220000,430.4616394
1718051012,2240000,436.2557068
1718051016,2260000,434.2215881
1718051020,2280000,400.8319397
1718051024,2300000,431.5287476
1718051028,2320000,434.5368042
1718051032,2340000,445.0078125
1718051036,2360000,451.2947998
1718051039,2380000,442.5726318
1718051043,2400000,436.6972961
1718051047,2420000,442.9470215
1718051051,2440000,445.7016296
1718051055,2460000,470.2192993
1718051059,2480000,446.253479
1718051062,2500000,467.554718
1718051066,2520000,468.295929
1718051070,2540000,442.8170776
1718051074,2560000,447.7457275
1718051077,2580000,430.0722351
1718051081,2600000,448.9363403
1718051085,2620000,446.4911194
1718051089,2640000,450.69104
1718051093,2660000,457.2668457
1718051096,2680000,459.1532288
1718051100,2700000,475.9599915
1718051104,2720000,475.3522949
1718051108,2740000,494.9622192
1718051112,2760000,507.0550537
1718051115,2780000,497.8652039
1718051119,2800000,488.1298523
1718051123,2820000,461.3197632
1718051127,2840000,477.5386047
1718051131,2860000,470.3267212
1718051134,2880000,503.9467468
1718051138,2900000,460.9407349
1718051142,2920000,477.5955505
1718051145,2940000,466.874176
1718051149,2960000,474.8217163
1718051153,2980000,467.62323
1718051156,3000000,483.4607544
1718051160,3020000,455.2502441
1718051164,3040000,382.1251221
1718051167,3060000,428.8991699
1718051171,3080000,465.6560974
1718051175,3100000,445.6954041
1718051178,3120000,459.1898804
1718051182,3140000,453.5480957
1718051186,3160000,474.081604
1718051189,3180000,430.388916
1718051193,3200000,420.5432129
1718051197,3220000,458.6929016
1718051200,3240000,421.6056213
1718051204,3260000,436.9709473
1718051208,3280000,476.9104614
1718051212,3300000,461.0140686
1718051215,3320000,464.2242432
1718051219,3340000,476.1352844
1718051223,3360000,455.1050415
1718051226,3380000,444.2847595
1718051230,3400000,438.4483337
1718051234,3420000,438.3949585
1718051238,3440000,459.2465515
1718051241,3460000,447.5571899
1718051245,3480000,481.9518738
1718051249,3500000,469.3387146
1718051252,3520000,471.462738
1718051256,3540000,461.6939392
1718051260,3560000,476.4940186
1718051264,3580000,439.3591309
1718051267,3600000,472.2516479
1718051271,3620000,487.6368103
1718051275,3640000,483.6373291
1718051279,3660000,472.6368408
1718051282,3680000,488.4579773
1718051286,3700000,493.1424561
1718051290,3720000,484.6317139
1718051294,3740000,479.0197144
1718051297,3760000,465.4293823
1718051301,3780000,475.8688965
1718051305,3800000,468.77771
1718051308,3820000,470.1664429
1718051312,3840000,436.7392273
1718051316,3860000,452.5744019
1718051319,3880000,428.1517639
1718051323,3900000,410.4819031
1718051326,3920000,417.5178833
1718051330,3940000,418.9935913
1718051333,3960000,421.89328
1718051337,3980000,424.6765747
1718051341,4000000,392.4671936
1718051344,4020000,438.4674072
1718051348,4040000,428.2155457
1718051351,4060000,444.3787231
1718051355,4080000,434.4029236
1718051359,4100000,461.630127
1718051362,4120000,473.3134766
1718051366,4140000,420.5721741
1718051370,4160000,442.4962769
1718051373,4180000,450.4682922
1718051377,4200000,439.6908264
1718051381,4220000,468.5676575
1718051384,4240000,439.1226807
1718051388,4260000,461.8963318
1718051392,4280000,476.6472778
1718051395,4300000,479.2895813
1718051399,4320000,461.5270386
1718051403,4340000,475.3710022
1718051406,4360000,482.9120789
1718051409,4380000,489.8287354
1718051412,4400000,479.2744141
1718051416,4420000,474.7481995
1718051419,4440000,472.8753052
1718051422,4460000,476.70224
1718051426,4480000,481.9016724
1718051430,4500000,494.0109253
1718051434,4520000,447.7558289
1718051438,4540000,470.8140259
1718051442,4560000,463.6498718
1718051445,4580000,470.6322937
1718051449,4600000,478.9929199
1718051453,4620000,458.6792297
1718051457,4640000,464.3207703
1718051461,4660000,445.386261
1718051464,4680000,443.4078064
1718051468,4700000,465.069519
1718051472,4720000,456.0323181
1718051476,4740000,486.1108704
1718051480,4760000,457.7941284
1718051483,4780000,472.3852234
1718051487,4800000,469.9976501
1718051491,4820000,443.2808228
1718051495,4840000,477.9735107
1718051499,4860000,467.1019592
1718051503,4880000,475.8876038
1718051506,4900000,470.7965698
1718051510,4920000,461.0037537
1718051514,4940000,474.7401428
1718051518,4960000,471.1269836
1718051521,4980000,466.2264404
1718051525,5000000,473.3962402
1718051529,5020000,461.8055725
1718051533,5040000,445.5447693
1718051536,5060000,463.7032471
1718051540,5080000,479.5954285
1718051544,5100000,488.2685547
1718051547,5120000,470.023407
1718051550,5140000,485.408783
1718051553,5160000,479.7737122
1718051557,5180000,479.8407898
1718051561,5200000,485.0912476
1718051565,5220000,469.1933594
1718051569,5240000,436.0657043
1718051572,5260000,447.807373
1718051576,5280000,465.8857117
1718051580,5300000,465.6896973
1718051584,5320000,435.4821777
1718051587,5340000,466.1842041
1718051591,5360000,493.1466064
1718051595,5380000,491.4752808
1718051599,5400000,493.4505005
1718051603,5420000,488.4146118
1718051606,5440000,486.7811584
1718051610,5460000,500.5046387
1718051614,5480000,482.2608643
1718051618,5500000,476.8951111
1718051622,5520000,467.5067139
1718051625,5540000,489.306366
1718051629,5560000,493.2330322
1718051633,5580000,489.5274353
